affiliated_committee_name,candidate_ids,committee_id,committee_type,committee_type_full,cycles,designation,designation_full,filing_frequency,first_f1_date,first_file_date,last_f1_date,last_file_date,name,organization_type,organization_type_full,party,party_full,sponsor_candidate_ids,sponsor_candidate_list,state,treasurer_name
NONE,[],C00171371,X,Party - Nonqualified,"[1984, 1986, 1988]",U,Unauthorized,T,1983-10-21,1983-10-21,1983-11-15,1987-03-20,1984 SAN FRANCISCO DEMOCRATIC CONVENTION HOST COMMITTEE,,,DEM,DEMOCRATIC PARTY,,[],CA,WILLIAM D ROLLNICK
NONE,[],C00187286,N,PAC - Nonqualified,"[1984, 1986]",U,Unauthorized,T,1984-07-06,1984-07-06,1984-10-12,1985-06-21,1984 SOCIALIST WORKERS CAMPAIGN COMMITTEE,,,,,,[],OH,BARBARA SACK
NONE,[],C00187245,N,PAC - Nonqualified,"[1984, 1986]",U,Unauthorized,T,1984-07-06,1984-07-06,1984-07-06,1985-02-22,1984 SOCIALIST WORKERS CAMPAIGN COMMITTEE--WEST VIRGINIA,M,Membership Organization,,,,[],WV,KATHLEEN MICKELLS
NEW YORK STATE CONS PARTY STATE COMM,[],C00132308,X,Party - Nonqualified,"[1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994]",U,Unauthorized,A,1980-07-28,1980-07-28,1984-04-10,1993-04-20,1984 VICTORY FUND (FORMERLY 1982 VICTORY FUND),,,CRV,CONSERVATIVE PARTY,,[],NY,VINCENT G DOWNING
DSCC DCCC DNC,[],C00187062,X,Party - Nonqualified,"[1984, 1986]",J,Joint fundraising committee,T,1984-07-10,1984-07-10,1985-07-10,1985-08-23,1984 VICTORY LUNCHEON,,,DEM,DEMOCRATIC PARTY,,[],DC,MARTIN D FRANKS
D C C C ALEXANDRIA DEM CMTE,[],C00204131,Y,Party - Qualified,[1986],J,Joint fundraising committee,T,1986-03-21,1986-03-21,1986-03-21,1986-10-03,1986 CONGRESSIONAL VICTORY FUND,,,DEM,DEMOCRATIC PARTY,,[],DC,MARTIN D FRANKS
NONE,[],C00208694,N,PAC - Nonqualified,[1986],U,Unauthorized,T,1986-07-11,1986-07-11,1986-08-05,1986-12-24,1986 EASTERN PA SOCIALIST WORKERS CAMPAIGN,M,Membership Organization,,,,[],PA,ALISON DAVIS
,['H0NC11019'],C00172726,H,House,"[1984, 1986, 1988, 1990, 1992, 1994]",P,Principal campaign committee,T,1983-11-21,1983-11-21,1992-06-15,1994-01-31,1986 HENDON FOR CONGRESS COMMITTEE,,,REP,REPUBLICAN PARTY,,[],NC,STEPHEN D BITTER
NONE,[],C00207027,N,PAC - Nonqualified,"[1986, 1988, 1990]",U,Unauthorized,T,1986-05-22,1986-05-22,1990-02-15,1990-02-15,1986 MINNESOTA SOCIALIST WORKERS CAMPAIGN COMMITTEE,M,Membership Organization,,,,[],MN,ALAN WEISBOND
NONE,[],C00209411,N,PAC - Nonqualified,"[1986, 1988, 1990, 1992]",U,Unauthorized,T,1986-07-28,1986-07-28,1992-01-02,1992-02-13,1986 NEW YORK SOCIALIST WORKERS PARTY CAMPAIGN,M,Membership Organization,,,,[],NY,RITA LEE
NONE,[],C00211383,N,PAC - Nonqualified,[1986],U,Unauthorized,T,1986-10-06,1986-10-06,1986-10-06,1986-11-14,1986 R PAC-FEDERATED REPUBLICAN WOMEN OF COCOA BEACH,,,,,,[],FL,NANCY F WILHELMS
,['H6CA44061'],C00213025,H,House,[1986],P,Principal campaign committee,T,1987-01-07,1987-01-07,1987-01-07,1987-02-17,1986 SAN DIEGO SOCIALIST WORKERS CAMPAIGN,,,SWP,SOCIALIST WORKERS PARTY,,[],CA,DEBRA L MADDEN
,[],C00210963,N,PAC - Nonqualified,[1986],U,Unauthorized,T,1986-09-15,1986-09-15,1987-01-29,1987-01-29,1986 SOCIALIST,,,SWP,SOCIALIST WORKERS PARTY,,[],CA,GEORGE JOHNSON
NONE,[],C00211961,N,PAC - Nonqualified,[1986],U,Unauthorized,T,1986-10-22,1986-10-22,1986-10-22,1987-01-02,1986 SOCIALIST WORKERS CAMPAIGN COMMITTEE,,,,,,[],WV,VALERIE JOHNSON
,['H6SC01094'],C00198093,H,House,"[1986, 1988]",P,Principal campaign committee,T,1985-09-23,1985-09-23,1985-09-23,1987-10-16,1986 STEVE JONES FOR CONGRESS COMMITTEE,,,REP,REPUBLICAN PARTY,,[],SC,JOHN C VONLEHE
ALLEGHENY COUNTY DEMOCRATIC CMTE-1988,[],C00225029,X,Party - Nonqualified,"[1988, 1990]",U,Unauthorized,T,1988-03-30,1988-03-30,1988-03-30,1989-08-11,1988 ALLEGHENY COUNTY DEMOCRATIC PRIMARY COMMITTEE,,,DEM,DEMOCRATIC PARTY,,[],PA,FREDERICK N FRANK
DEMOCRATIC NATIONAL COMMITTEE,[],C00208132,Y,Party - Qualified,"[1986, 1988, 1990]",U,Unauthorized,T,1986-06-24,1986-06-24,1989-04-10,1990-06-29,1988 DEMOCRATIC NATIONAL CONVENTION COMM INC,,,DEM,DEMOCRATIC PARTY,,[],DC,ROBERT A FARMER
"DCCC, DSC, DNC",[],C00228338,Y,Party - Qualified,[1988],J,Joint fundraising committee,T,1988-06-02,1988-06-02,1988-06-02,1989-02-03,1988 DEMOCRATIC VICTORY LUNCHEON,,,DEM,DEMOCRATIC PARTY,,[],DC,PATRICIA M FIORELLO
NONE,[],C00224410,N,PAC - Nonqualified,"[1988, 1990]",U,Unauthorized,T,1988-03-16,1988-03-16,1989-09-08,1990-01-19,1988 HEALTH CARE LEADERSHIP,W,Corporation w/o capital stock,,,,[],MN,JULIA L RAYMOND
NONE,[],C00215665,N,PAC - Nonqualified,"[1988, 1990, 1992, 1994, 1996]",U,Unauthorized,A,1987-06-15,1987-06-15,1995-07-07,1995-11-27,1988 PRESIDENTIAL TRUST,M,Membership Organization,,,,[],NY,MICHAEL LETOURNEAU
,['H8UT03048'],C00234161,H,House,"[1988, 1990, 1992, 1994, 1996]",P,Principal campaign committee,A,1988-10-31,1988-10-31,1988-10-31,1988-10-31,1988 SOCIALIST WORKERS CAMPAIGN,,,,,,[],UT,DAVID P HURST
NONE,[],C00228346,N,PAC - Nonqualified,[1988],U,Unauthorized,T,1988-05-31,1988-05-31,1988-07-14,1988-12-23,1988 SOCIALIST WORKERS CAMPAIGN COMMITTEE,,,,,,[],UT,NANCY L BOYASKO
(BLANK),[],C00242834,N,PAC - Nonqualified,"[1990, 1992, 1994, 1996, 1998]",U,Unauthorized,A,1990-03-20,1990-03-20,1997-04-24,1997-12-19,1990 INDEPENDENT CAMPAIGN COMMITTEE,T,Trade Association,,,,[],IL,H ROBERT BARTELL III
NONE,[],C00247577,N,PAC - Nonqualified,[1990],U,Unauthorized,T,1990-08-06,1990-08-06,1990-09-06,1991-03-08,1990 NEW JERSEY SOCIALIST WORKERS CAMPAIGN,,,,,,[],NJ,KATHLEEN M RETTIG
,[],C00249300,N,PAC - Nonqualified,[1990],U,Unauthorized,T,1990-11-02,1990-11-02,1990-12-10,1990-12-21,1990 SOCIALIST WORKERS CAMPAIGN COMMITTEE,,,,,,[],GA,ELIZABETH ZIERS
,['H0OH21022'],C00249144,H,House,"[1990, 1992, 1994, 1996]",P,Principal campaign committee,A,1990-10-17,1990-10-17,1990-10-17,1990-10-17,1990 SOCIALIST WORKERS OHIO CAMPAIGN COMMITTEE,,,SOC,SOCIALIST PARTY U.S.A.,,[],OH,DUANE ANTHONY STILWELL
DNC/DNC SERVICES CORPORATION,[],C00252320,Y,Party - Qualified,"[1992, 1994]",U,Unauthorized,T,1991-06-14,1991-06-14,1992-10-27,1994-11-18,1992 DEMOCRATIC NATIONAL CONVENTION COMM INC,,,REP,REPUBLICAN PARTY,,[],DC,ROBERT T MATSUI
,[],C90004524,I,Independent expenditure filer (not a committee),[1992],U,Unauthorized,T,,1992-10-21,,1992-12-03,1992 HOUSTON PARTNERSHIP L P,,,,,,[],TX,W R KILROY
NONE,[],C00275743,N,PAC - Nonqualified,[1992],U,Unauthorized,T,1992-09-15,1992-09-15,1992-09-15,1993-01-21,1992 MISSOURI SOCIALIST WORKERS CAMPAIGN,,,,,,[],MO,DAVID SANDOR
N/A,[],C00265678,D,Delegate Committee,"[1992, 1994]",U,Unauthorized,T,1992-04-20,1992-04-20,1992-06-01,1993-08-02,1992 REPUBLICAN NATIONAL CONVENTION CALIFORNIA DELEGATES COMMITTEE,,,REP,REPUBLICAN PARTY,,[],CA,CHARLES H BELL JR
DCCC/WI UN FD/MS UN FD/CA UN FD/OH UNF,"['H4CA17021', 'H4MS02068', 'H4OH02057', 'H4WI01056']",C00280610,X,Party - Nonqualified,[1994],J,Joint fundraising committee,T,1993-03-17,1993-03-17,1993-03-17,1994-11-28,1993 DEMOCRATIC SPECIAL ELECTION FUND,,,DEM,DEMOCRATIC PARTY,,[],DC,GENIE NORRIS
,['S4TX00326'],C00281113,U,Single Candidate Independent Expenditure,"[1994, 1996, 1998, 2000]",U,Unauthorized,A,1993-04-19,1993-04-19,1993-04-19,2000-05-25,1993 TEXAS SOCIALIST WORKERS CAMPAIGN,,,,,,[],TX,STEVE R WARREN
,['S4CA00068'],C00284869,S,Senate,[1994],P,Principal campaign committee,T,1993-10-26,1993-10-26,1994-05-23,1994-08-26,1994 COMMITTEE TO ELECT WILLIAM J FAUBER TO THE U S SENATE,,,,,,[],CA,TRAVIS AGLE
,[],C60000486,Z,National Party Nonfederal Account,"[1994, 1996, 1998, 2000, 2002]",U,Unauthorized,T,,1994-04-15,,1997-07-31,1994 REP S/H DINNER TRUST (NON-FEDERAL),,,,,,[],,
N R S C/N R C C,[],C00290106,Y,Party - Qualified,"[1994, 1996, 1998, 2000]",J,Joint fundraising committee,T,1994-02-28,1994-02-28,1994-02-28,1999-03-15,1994 REPUBLICAN SENATE-HOUSE DINNER/AKA PRESIDENT'S DINNER,,,REP,REPUBLICAN PARTY,,[],MD,JAMES T SPINNLER
,['H4UT03088'],C00293464,H,House,"[1994, 1996, 1998]",P,Principal campaign committee,A,,1994-04-29,,1997-09-11,1994 UTAH SOCIALIST WORKERS CAMPAIGN,,,,,,[],UT,BARBARA GREENWAY
DEMOCRATIC PARTY OF VIRGINIA,['S8VA00156'],C00298349,X,Party - Nonqualified,[1994],J,Joint fundraising committee,T,1994-09-19,1994-09-19,1994-09-19,1995-02-24,1994 VIRGINIA VICTORY DINNER,,,,,,[],VA,C R SUDDITH JR
,[],C60000643,Z,National Party Nonfederal Account,"[1996, 1998, 2000, 2002]",U,Unauthorized,T,,1995-07-31,,1996-10-15,1995 REP S/H DINNER TRUST (NON-FEDERAL),,,,,,[],,
NRCC,[],C00301010,Y,Party - Qualified,[1996],J,Joint fundraising committee,T,1995-02-03,1995-02-03,1995-02-03,1997-01-03,1995 REPUBLICAN SENATE-HOUSE DINNER/AKA THE PRESIDENT'S DINNER,,,REP,REPUBLICAN PARTY,,[],MD,JAMES T SPINNLER
,['P00000489'],C00317487,D,Delegate Committee,"[1996, 1998]",U,Unauthorized,T,1996-04-26,1996-04-26,1996-04-26,1997-08-29,1996 CALIFORNIA REPUBLICAN NATIONAL CONVENTION DELEGATION FUND,,,,,,[],CA,CHARLES H BELL JR
"OUR LADY'S CHAPEL, INC.",[],C00277319,N,PAC - Nonqualified,"[1992, 1994]",U,Unauthorized,T,1992-10-19,1992-10-19,1992-12-01,1995-01-20,1996 CATHOLIC PRESIDENTIAL OUR LADY'S CHAPEL INC PRO-LIFE COMMITTEE,C,Corporation,,,,[],MA,BRO RONALD AJ DEMELLO
REPUBLICAN NATIONAL COMMITTEE,[],C00293563,Y,Party - Qualified,"[1994, 1996, 1998, 2000, 2002]",U,Unauthorized,T,1994-05-09,1994-05-09,1998-02-27,2001-03-09,1996 COMMITTEE ON ARRANGEMENTS FOR THE REPUBLICAN NATIONAL CONVENTION,,,REP,REPUBLICAN PARTY,,[],DC,ALEC POITEVINT
RNC/1996 CMTE ON ARRANGEMENTS FOR RNC,[],C00321745,X,Party - Nonqualified,"[1996, 1998, 2000, 2002]",U,Unauthorized,T,1996-08-14,1996-08-14,1998-02-27,2001-03-02,1996 COMMITTEE ON ARRANGEMENTS FOR THE REPUBLICAN NATIONAL CONVENTION COMPLIANCE FUND,,,,,,[],DC,ALEX POITEVINT
DEMOCRATIC NATIONAL COMMITTEE,[],C00303388,Y,Party - Qualified,"[1996, 1998, 2000, 2002]",U,Unauthorized,T,1995-06-06,1995-06-06,1999-03-26,2001-07-20,1996 DEMOCRATIC NATIONAL CONVENTION COMMITTEE,,,DEM,DEMOCRATIC PARTY,,[],DC,ANDREW TOBIAS
,[],C00325290,X,Party - Nonqualified,"[1996, 1998]",U,Unauthorized,T,,1996-12-05,,1997-03-14,1996 IOWA SOCIALIST WORKER CAMPAIGN,,,,,,[],IA,WILLIAM R KALMAN
,['S6IA00108'],C00323808,S,Senate,"[1996, 1998]",P,Principal campaign committee,A,1996-10-07,1996-10-07,1996-10-07,1997-09-11,1996 IOWA SOCIALIST WORKERS CAMPAIGN (PCC PENA),,,SWP,SOCIALIST WORKERS PARTY,,[],IA,WILLIAM R KALMAN
,[],C60000742,Z,National Party Nonfederal Account,"[1996, 1998, 2000, 2002]",U,Unauthorized,T,,1996-04-15,,1998-04-15,1996 REP S/H DINNER TRUST AND BLDG FUND-NON FED,,,,,,[],,
NRCC/NRSC,[],C00314989,X,Party - Nonqualified,"[1996, 1998]",J,Joint fundraising committee,T,1996-03-05,1996-03-05,1996-09-09,1998-05-29,1996 REPUBLICAN HOUSE-SENATE DINNER/AKA THE PRESIDENT'S DINNER,,,,,,[],MD,TRUDY MATTHES BARKSDALE
NONE,[],C00321604,N,PAC - Nonqualified,"[1996, 1998]",U,Unauthorized,T,1996-08-08,1996-08-08,1996-09-06,1997-03-28,"1996 UTAH SOCIALIST WORKERS CAMPAIGN COMMITTEE, THE",,,,,,[],UT,JESSE D SMITH
,[],C60001112,Z,National Party Nonfederal Account,"[1998, 2000, 2002]",U,Unauthorized,T,,1997-08-01,,1998-04-15,1997 REP S/H DINNER BUILDING FUND (NON-FEDERAL),,,,,,[],,
,[],C60001120,Z,National Party Nonfederal Account,"[1998, 2000, 2002]",U,Unauthorized,T,,1997-08-01,,1999-01-31,1997 REP S/H DINNER TRUST & INDIVIDUALS (NON-FEDERAL),,,,,,[],,
REPUBLICAN PARTY OF IOWA,['H4IA04048'],C00330175,X,Party - Nonqualified,[1998],J,Joint fundraising committee,T,1997-10-02,1997-10-02,1997-10-02,1998-07-10,1997 REPUBLICAN FALL EVENT,,,REP,REPUBLICAN PARTY,,[],IA,KEITH FORTMANN
NRCC NRSC,[],C00326686,Y,Party - Qualified,"[1998, 2000]",J,Joint fundraising committee,T,1997-03-20,1997-03-20,1997-03-20,1999-03-19,1997 REPUBLICAN SENATE-HOUSE DINNER,,,REP,REPUBLICAN PARTY,,[],MD,TRUDY MATTHES BARKSDALE
,[],C60001179,Z,National Party Nonfederal Account,"[1998, 2000, 2002]",U,Unauthorized,T,,1998-04-15,,1999-07-30,1998 H/S DINNER - PAC NON-FED,,,,,,[],,
REFORM PARTY OF THE USA,[],C00332551,X,Party - Nonqualified,[1998],U,Unauthorized,T,1998-01-13,1998-01-13,1998-02-13,1998-05-08,1998 NATL REFORM PARTY CONVENTION COMMITTEE,,,REF,REFORM PARTY,,[],GA,J J WHEELING
,[],C60001211,Z,National Party Nonfederal Account,"[1998, 2000, 2002]",U,Unauthorized,T,,1998-04-15,,1999-07-30,1998 REP H/S DINNER BUILDING FUND,,,,,,[],,
,[],C60001229,Z,National Party Nonfederal Account,"[1998, 2000, 2002]",U,Unauthorized,T,,1998-07-15,,1999-07-30,1998 REP H/S DINNER - INDIVIDUAL NON-FEDERAL,,,,,,[],,
,[],C60001161,Z,National Party Nonfederal Account,"[1998, 2000, 2002]",U,Unauthorized,T,,1998-04-15,,1999-07-30,1998 REP H/S DINNER TRUST NON-FED,,,,,,[],,
NRCC NRSC,[],C00333344,Y,Party - Qualified,"[1998, 2000]",J,Joint fundraising committee,T,1998-02-03,1998-02-03,1998-08-11,1999-08-27,1998 REPUBLICAN HOUSE-SENATE DINNER,,,REP,REPUBLICAN PARTY,,[],MD,TRUDY MATTHES BARKSDALE
,[],C60001328,Z,National Party Nonfederal Account,"[2000, 2002]",U,Unauthorized,T,,1999-08-02,,2000-07-13,1999 REP S/H DINNER NON-FED BUILDING FUND,,,,,,[],,
,[],C60001336,Z,National Party Nonfederal Account,"[2000, 2002]",U,Unauthorized,T,,1999-08-02,,2001-07-31,1999 REP S/H DINNER NON-FED INDIVIDUAL,,,,,,[],,
,[],C60001344,Z,National Party Nonfederal Account,"[2000, 2002]",U,Unauthorized,T,,1999-08-02,,2000-07-13,1999 REP S/H DINNER NON-FED PAC,,,,,,[],,
,[],C60001310,Z,National Party Nonfederal Account,"[2000, 2002]",U,Unauthorized,T,,1999-08-02,,2000-07-13,1999 REP S/H DINNER NON-FED TRUST,,,,,,[],,
NRCC NRSC,[],C00343129,X,Party - Nonqualified,[2000],J,Joint fundraising committee,T,1999-02-17,1999-02-17,1999-02-17,2000-08-24,1999 REPUBLICAN SENATE-HOUSE DINNER COMMITTEE;THE,,,,,,[],DC,CHRISTOPHER J WARD
20 REP ST CENT CMTE,['P00003335'],C00350553,X,Party - Nonqualified,[2000],J,Joint fundraising committee,T,1999-11-12,1999-11-12,1999-11-12,2001-01-05,1999 STATE VICTORY FUND COMMITTEE,,,,,,[],TX,FRED MEYER
,[],C88000740,D,Delegate Committee,"[1980, 1982]",U,Unauthorized,T,1980-09-08,1980-09-08,1980-09-08,1984-01-20,19TH C/O KENNEDY FOR PRESIDENT,,,,,,[],IL,JOYCE E EVANS
,['P40000267'],C00180554,D,Delegate Committee,[1984],U,Unauthorized,T,1984-03-30,1984-03-30,1984-03-30,1985-02-07,19TH CONGRESSIONAL DISTRICT DELEGATES FOR MONDALE COMMITTEE,,,,,,[],PA,LOUANN SHRADER
,[],C00035147,Y,Party - Qualified,"[1976, 1978, 1980, 1982]",U,Unauthorized,A,1976-03-12,1976-03-12,1982-03-01,1982-03-01,19TH CONGRESSIONAL DISTRICT DEMOCRATIC COMMITTEE,,,DEM,DEMOCRATIC PARTY,,[],MI,THOMAS BROOKOVER
,['P00000489'],C00223735,D,Delegate Committee,"[1988, 1990, 1992, 1994, 1996]",U,Unauthorized,A,1988-02-29,1988-02-29,1988-02-29,1995-03-21,19TH CONGRESSIONAL DISTRICT DOLE DELEGATES,,,,,,[],IL,DEBORAH K ZIMMER
,[],C00079418,X,Party - Nonqualified,"[1976, 1978, 1980, 1982]",U,Unauthorized,A,1981-05-12,1976-08-05,1981-12-11,1982-08-26,19TH CONGRESSIONAL DISTRICT-REPUBLICAN COMMITTEE *,,,REP,REPUBLICAN PARTY,,[],MI,RON HAMMER
,['P40000267'],C00178673,D,Delegate Committee,"[1984, 1986, 1988, 1990, 1992, 1994, 1996]",U,Unauthorized,A,,1984-03-07,,1995-03-21,19TH DISTRICT DELEGATES FOR MONDALE COMMITTEE,,,,,,[],IL,JOHN S ADKINS
LUGAR,[],C00498709,Q,PAC - Qualified,"[2012, 2014]",D,Leadership PAC,T,2011-07-08,2011-07-08,2012-05-22,2014-08-26,19TH STAR PAC INC; THE,,,,,['S4IN00014'],"[{'sponsor_candidate_id': 'S4IN00014', 'sponsor_candidate_name': 'LUGAR, RICHARD G'}]",IN,"MORRIS, MARTIN W."
NONE,[],C00626200,O,Super PAC (Independent Expenditure-Only),"[2016, 2018]",U,Unauthorized,A,2016-09-20,2016-09-20,2016-09-20,2018-04-06,1 AMERICA,,,,,,[],CT,"BECHARD, RAYMONDQ MR."
NONE,[],C00568949,N,PAC - Nonqualified,"[2014, 2016]",U,Unauthorized,A,2014-09-20,2014-09-20,2014-09-20,2017-10-16,1 AMERICA TOWARD A MOST EXCELLENT FUTURE FOR ALL DEMOCRATS REPUBLICANS AND INDEPENDENTS,,,,,,[],CA,MALCOLM KELLOGG DEVOE
CD JEFFERSON 4 SENATE,['P00014894'],C00731992,P,Presidential,"[2020, 2022, 2024]",P,Principal campaign committee,A,2019-12-22,2019-12-22,2019-12-22,2023-06-15,1.	CEDRIC JEFFERSON LIB POP WXYZ PRESIDENTIAL GROUP,,,LIB,LIBERTARIAN PARTY,,[],TX,"WYSINGER, PRINCE LOUIS WYSINGER"
,[],C00624676,O,Super PAC (Independent Expenditure-Only),"[2016, 2018]",U,Unauthorized,T,2016-08-25,2016-08-25,2016-08-25,2017-09-20,1 PAC,,,,,,[],CA,MICHAEL KOSTRUKOFF
,['P40000671'],C00224527,P,Presidential,"[1988, 1990, 1992, 1994, 1996]",P,Principal campaign committee,A,1988-03-18,1988-03-18,1988-03-18,1996-05-15,#1 PARTY (PCC MATALIK),,,,,,[],NY,EMIL MATALIK
,[],C00707208,N,PAC - Nonqualified,"[2020, 2022]",U,Unauthorized,T,2019-05-22,2019-05-22,2019-05-22,2021-07-30,1 PLANET PAC,,,,,,[],VA,JENNIFER RODA
1PLANET,[],C00663955,N,PAC - Nonqualified,"[2018, 2020]",U,Unauthorized,T,2017-12-22,2017-12-22,2018-04-18,2019-07-29,1PLANET POLITICAL ACTION COMMITTEE AKA 1PLANETPAC,M,Membership Organization,,,,[],VA,"RODA, JENNIFER"
1POINT ADMINISTRATIVE SERVICES,[],C00380576,N,PAC - Nonqualified,"[2002, 2004]",U,Unauthorized,T,2002-08-01,2002-08-01,2002-10-01,2003-09-26,1POINT PAC,C,Corporation,,,,[],TN,BARRY RAY STOKES
,['P40000267'],C00182337,D,Delegate Committee,[1984],U,Unauthorized,T,1984-04-19,1984-04-19,1984-04-19,1985-02-07,1ST AND 2ND DISTRICTS DELEGATES FOR MONDALE,,,,,,[],OH,PETER W SWENTY
,[],C00009092,X,Party - Nonqualified,"[1976, 1978, 1980]",U,Unauthorized,T,1977-04-14,1977-04-14,1980-06-25,1981-01-29,1ST CONGRESSIONAL COLORADO REPUBLICAN CENTRAL COMMITTEE,,,REP,REPUBLICAN PARTY,,[],CO,BRADLEY J STEVENS
,['H4IL01022'],C00198390,H,House,"[1986, 1988, 1990, 1992, 1994, 1996, 1998]",A,Authorized by a candidate,A,1985-10-09,1985-10-09,1985-10-09,1997-07-15,1ST CONGRESSIONAL DISTRICT CHARLES HAYES COMMITTEE,,,DEM,DEMOCRATIC PARTY,,[],IL,HELEN WARFIELD
,['H6IL01043'],C00046326,H,House,"[1976, 1978, 1980, 1982]",A,Authorized by a candidate,A,1978-06-28,1976-07-12,1978-06-28,1982-02-22,1ST CONGRESSIONAL DISTRICT COMMITTEE,,,,,,[],IL,CIRILO MCSWEEN
,['P40000267'],C00178236,D,Delegate Committee,[1984],U,Unauthorized,T,1984-03-01,1984-03-01,1984-03-01,1985-02-07,1ST CONGRESSIONAL DISTRICT DELEGATES FOR WALTER MONDALE,,,,,,[],IL,GEORGIA E TREVAN
MINNESOTA D.F.L. PARTY,[],C00097717,X,Party - Nonqualified,"[1978, 1980, 1982, 1984, 1986, 1988]",U,Unauthorized,T,1978-06-19,1978-06-19,1980-08-01,1987-12-29,1ST CONGRESSIONAL DISTRICT DFL,,,DFL,DEMOCRATIC-FARM-LABOR,,[],MN,KAREN L GILBERTSON
,['P40001018'],C00224535,D,Delegate Committee,"[1988, 1990, 1992, 1994, 1996]",U,Unauthorized,A,1988-03-18,1988-03-18,1988-03-18,1995-03-21,1ST CONGRESSIONAL DISTRICT JESSE JACKSON DELEGATE COMM,,,,,,[],IL,WARREN D GIPSON
,[],C00043190,X,Party - Nonqualified,"[1976, 1978, 1980, 1982]",U,Unauthorized,A,1976-03-31,1976-03-31,1981-06-30,1981-06-30,1ST CONGRESSIONAL DISTRICT REPUBLICAN FEDERAL CAMPAIGN COMMITTEE,,,REP,REPUBLICAN PARTY,,[],GA,RAYMOND GASTER
,[],C00066324,Y,Party - Qualified,"[1976, 1978, 1980, 1982, 1984, 1986, 1988]",U,Unauthorized,T,1976-09-27,1976-09-27,1988-08-01,1988-08-19,1ST CONGRESSIONAL DISTRICT REPUBLICAN ORGANIZATION,,,REP,REPUBLICAN PARTY,,[],CT,JAMES J. MCCABE
,['P40000267'],C00177246,D,Delegate Committee,[1984],U,Unauthorized,T,1984-02-17,1984-02-17,1984-09-05,1985-02-07,1ST DISTRICT DELEGATE COMMITTEE FOR MONDALE,,,,,,[],RI,SALVATORE MANCINI
,[],C00649996,O,Super PAC (Independent Expenditure-Only),"[2016, 2018, 2020, 2022, 2024]",U,Unauthorized,A,2017-07-11,2017-07-11,2021-08-12,2024-05-24,1ST DISTRICT DEMOCRATS,,,DEM,DEMOCRATIC PARTY,,[],WI,REYNALDO VILLAR
BINNIE,[],C00485920,N,PAC - Nonqualified,"[2010, 2012]",D,Leadership PAC,T,2010-07-08,2010-07-08,2011-10-21,2012-02-09,1ST IN THE NATION POLITICAL ACTION COMMITTEE,,,,,['S0NH00250'],"[{'sponsor_candidate_id': 'S0NH00250', 'sponsor_candidate_name': 'BINNIE, WILLIAM H'}]",DC,"ENGLE, CRAIG MR."
1ST SOURCE CORPORATION,[],C00181529,Q,PAC - Qualified,"[1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024]",U,Unauthorized,Q,1984-04-09,1984-04-09,2013-01-28,2024-07-15,1ST SOURCE CORPORATION POLITICAL ACTION COMMITTEE,C,Corporation,,,,[],IN,"SHORT, ANDREA G."
NONE,['P00007088'],C00669366,P,Presidential,"[2018, 2020, 2022, 2024]",P,Principal campaign committee,A,2018-02-09,2018-02-09,2018-02-09,2023-06-15,"1 TEAM, 1 FIGHT COMMITTEE",,,DEM,DEMOCRATIC PARTY,,[],NY,"SHAW-BILBO, PATRICIA"
DNC SERVICES CORP/DEM NATIONAL CMTE,[],C00339069,X,Party - Nonqualified,"[1998, 2000, 2002, 2004]",U,Unauthorized,T,1998-07-30,1998-07-30,2000-04-14,2003-07-14,2000 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC,H,,,,,[],DC,ANDREW TOBIAS
NATIONAL REPUBLICAN SENATORIAL CMTE,['S8VA00214'],C00361006,X,Party - Nonqualified,"[2000, 2002]",J,Joint fundraising committee,T,2000-07-27,2000-07-27,2000-08-11,2001-03-02,2000 GEORGE ALLEN HOE DOWN COMMITTEE,,,REP,REPUBLICAN PARTY,,[],DC,BETH LYDON
,[],C60001583,Z,National Party Nonfederal Account,"[2000, 2002]",U,Unauthorized,T,,2000-04-15,,2001-07-31,2000 REP H/S DINNER NON FED BUILDING FUND,,,,,,[],,
,[],C60001609,Z,National Party Nonfederal Account,"[2000, 2002]",U,Unauthorized,T,,2000-04-15,,2001-07-31,2000 REP H/S DINNER NON FED COMP FUND,,,,,,[],,
,[],C60001575,Z,National Party Nonfederal Account,"[2000, 2002]",U,Unauthorized,T,,2000-04-15,,2001-01-31,2000 REP H/S DINNER NON FED INDIVIDUAL,,,,,,[],,
,[],C60001591,Z,National Party Nonfederal Account,"[2000, 2002]",U,Unauthorized,T,,2000-04-15,,2001-07-31,2000 REP H/S DINNER NON FED PAC,,,,,,[],,
,[],C60001617,Z,National Party Nonfederal Account,"[2000, 2002]",U,Unauthorized,T,,2000-04-15,,2001-07-31,2000 REP H/S DINNER NON FED TRUST,,,,,,[],,
NRCC/NRSC,[],C00352500,X,Party - Nonqualified,"[2000, 2002]",J,Joint fundraising committee,T,2000-01-18,2000-01-18,2000-12-20,2001-09-14,2000 REPUBLICAN HOUSE-SENATE DINNER COMMITTEE; THE,,,REP,REPUBLICAN PARTY,,[],MD,CHRISTOPHER J WARD
